Mon Feb 29 11:01:04 2016	Price: 19.14
Mon Feb 29 11:01:10 2016	Price: 19.14
Mon Feb 29 11:01:16 2016	Price: 19.135
Mon Feb 29 11:01:23 2016	Price: 19.14
Mon Feb 29 11:01:29 2016	Price: 19.14
Mon Feb 29 11:01:35 2016	Price: 19.15
Mon Feb 29 11:01:41 2016	Price: 19.15
Mon Feb 29 11:01:48 2016	Price: 19.145
Mon Feb 29 11:01:54 2016	Price: 19.14
Mon Feb 29 11:02:01 2016	Price: 19.145
Mon Feb 29 11:02:07 2016	Price: 19.14
Mon Feb 29 11:02:13 2016	Price: 19.135
Mon Feb 29 11:02:19 2016	Price: 19.14
Mon Feb 29 11:02:26 2016	Price: 19.13
Mon Feb 29 11:02:32 2016	Price: 19.14
Mon Feb 29 11:02:38 2016	Price: 19.14
Mon Feb 29 11:02:44 2016	Price: 19.14
Mon Feb 29 11:02:51 2016	Price: 19.145
Mon Feb 29 11:02:57 2016	Price: 19.145
Mon Feb 29 11:03:03 2016	Price: 19.14
Mon Feb 29 11:03:09 2016	Price: 19.1301
Mon Feb 29 11:03:16 2016	Price: 19.1301
Mon Feb 29 11:03:22 2016	Price: 19.131
Mon Feb 29 11:03:28 2016	Price: 19.13
Mon Feb 29 11:03:34 2016	Price: 19.13
Mon Feb 29 11:03:40 2016	Price: 19.15
Mon Feb 29 11:03:47 2016	Price: 19.14
Mon Feb 29 11:03:53 2016	Price: 19.14
Mon Feb 29 11:03:59 2016	Price: 19.145
Mon Feb 29 11:04:05 2016	Price: 19.14
Mon Feb 29 11:04:11 2016	Price: 19.14
Mon Feb 29 11:04:17 2016	Price: 19.1351
Mon Feb 29 11:04:24 2016	Price: 19.14
Mon Feb 29 11:04:30 2016	Price: 19.14
Mon Feb 29 11:04:36 2016	Price: 19.1376
Mon Feb 29 11:04:42 2016	Price: 19.14
Mon Feb 29 11:04:49 2016	Price: 19.14
Mon Feb 29 11:04:55 2016	Price: 19.14
Mon Feb 29 11:05:01 2016	Price: 19.135
Mon Feb 29 11:05:07 2016	Price: 19.14
Mon Feb 29 11:05:13 2016	Price: 19.135
Mon Feb 29 11:05:19 2016	Price: 19.14
Mon Feb 29 11:05:26 2016	Price: 19.14
Mon Feb 29 11:05:32 2016	Price: 19.14
Mon Feb 29 11:05:38 2016	Price: 19.14
Mon Feb 29 11:05:44 2016	Price: 19.14
Mon Feb 29 11:05:51 2016	Price: 19.141
Mon Feb 29 11:05:57 2016	Price: 19.14
Mon Feb 29 11:06:03 2016	Price: 19.14
Mon Feb 29 11:06:09 2016	Price: 19.145
Mon Feb 29 11:06:15 2016	Price: 19.135
Mon Feb 29 11:06:22 2016	Price: 19.135
Mon Feb 29 11:06:28 2016	Price: 19.14
Mon Feb 29 11:06:34 2016	Price: 19.13
Mon Feb 29 11:06:40 2016	Price: 19.13
Mon Feb 29 11:06:46 2016	Price: 19.13
Mon Feb 29 11:06:53 2016	Price: 19.1377
Mon Feb 29 11:06:59 2016	Price: 19.1377
Mon Feb 29 11:07:05 2016	Price: 19.13
Mon Feb 29 11:07:11 2016	Price: 19.125
Mon Feb 29 11:07:17 2016	Price: 19.125
Mon Feb 29 11:07:23 2016	Price: 19.13
Mon Feb 29 11:07:30 2016	Price: 19.14
Mon Feb 29 11:07:36 2016	Price: 19.14
Mon Feb 29 11:07:42 2016	Price: 19.14
Mon Feb 29 11:07:48 2016	Price: 19.145
Mon Feb 29 11:07:54 2016	Price: 19.14
Mon Feb 29 11:08:02 2016	Price: 19.14
Mon Feb 29 11:08:09 2016	Price: 19.135
Mon Feb 29 11:08:15 2016	Price: 19.14
Mon Feb 29 11:08:21 2016	Price: 19.14
Mon Feb 29 11:08:27 2016	Price: 19.14
Mon Feb 29 11:08:33 2016	Price: 19.14
Mon Feb 29 11:08:40 2016	Price: 19.14
Mon Feb 29 11:08:47 2016	Price: 19.14
Mon Feb 29 11:08:54 2016	Price: 19.14
Mon Feb 29 11:09:01 2016	Price: 19.14
Mon Feb 29 11:09:08 2016	Price: 19.14
Mon Feb 29 11:09:15 2016	Price: 19.14
Mon Feb 29 11:09:25 2016	Price: 19.135
Mon Feb 29 11:09:31 2016	Price: 19.1359
Mon Feb 29 11:09:37 2016	Price: 19.1359
Mon Feb 29 11:09:44 2016	Price: 19.14
Mon Feb 29 11:09:50 2016	Price: 19.14
Mon Feb 29 11:09:56 2016	Price: 19.135
Mon Feb 29 11:10:02 2016	Price: 19.135
